GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06037216300,06037216300,"Census Tract 2163, Los Angeles County, California",4927,373,3304,278,445,181,0,12,690,141,0,12,152,110,336,244,42,55,294,240
1400000US06037216401,06037216401,"Census Tract 2164.01, Los Angeles County, California",4850,556,3628,604,58,72,0,12,627,236,0,12,335,205,202,151,50,71,152,97
1400000US06037216402,06037216402,"Census Tract 2164.02, Los Angeles County, California",3018,279,2343,308,79,87,0,12,264,127,0,12,214,182,118,64,8,16,110,61
1400000US06037216700,06037216700,"Census Tract 2167, Los Angeles County, California",3966,313,1513,237,1308,252,0,12,357,145,0,12,567,206,221,126,29,30,192,123
1400000US06037216800,06037216800,"Census Tract 2168, Los Angeles County, California",3459,236,2553,239,324,145,27,33,151,91,0,12,249,206,155,74,17,26,138,68
1400000US06037216900,06037216900,"Census Tract 2169, Los Angeles County, California",5262,446,2237,292,1290,280,241,266,359,117,0,12,950,412,185,103,23,31,162,94
1400000US06037217001,06037217001,"Census Tract 2170.01, Los Angeles County, California",2843,302,2276,429,79,76,0,12,110,52,0,12,73,80,305,239,6,9,299,239
1400000US06037217002,06037217002,"Census Tract 2170.02, Los Angeles County, California",5582,421,3609,436,851,290,86,93,574,276,0,17,281,152,181,128,9,33,172,121
1400000US06037217100,06037217100,"Census Tract 2171, Los Angeles County, California",5572,620,2203,516,2203,508,0,17,298,174,0,17,536,268,332,173,67,76,265,160
1400000US06037217200,06037217200,"Census Tract 2172, Los Angeles County, California",3820,409,1647,380,826,323,0,12,305,173,41,60,844,366,157,108,6,10,151,108
