"County Name","Census Tract","Population","Body Mass Index","IBL Ranking"
"King","53033029408","2888","26.78","7"
"King","53033029502","4486","26.05","4"
"King","53033029503","5042","26.71","7"
"King","53033029504","3420","27.08","8"
"King","53033029601","4261","26.53","6"
"King","53033029602","3449","25.85","3"
"King","53033029700","5330","26.91","7"
"King","53033029801","5523","26.54","6"
"King","53033029802","6898","26.3","5"
"King","53033029901","3487","26.28","5"
"King","53033029902","3060","25.77","3"
"King","53033030003","4384","26.07","4"
"King","53033030004","5411","26.6","6"
"King","53033030005","3538","26.79","7"
"King","53033030006","2654","26.33","5"
"King","53033030100","5485","25.59","3"
"King","53033030201","3822","26.55","6"
"King","53033030202","4200","26.53","6"
"King","53033030304","2207","26.06","4"
"King","53033030305","3784","26.18","5"
"King","53033030306","4376","26.13","4"
"King","53033030308","4485","25.97","4"
"King","53033030309","4222","26.17","4"
"King","53033030310","3735","25.35","2"
"King","53033030311","3578","26.87","7"
"King","53033030312","3286","26.76","7"
"King","53033030313","2817","26.4","5"
"King","53033030314","2938","26.12","4"
"King","53033030401","6493","25.99","4"
"King","53033030403","3244","26.01","4"
"King","53033030404","3442","26","4"
"King","53033030501","1719","27.34","9"
"King","53033030503","3382","27.17","9"
"King","53033030504","3267","27.07","8"
"King","53033030600","3733","27.1","8"
"King","53033030700","2589","27.5","10"
"King","53033030801","5027","27.77","10"
"King","53033030802","2782","27.15","9"
"King","53033030901","2338","26.99","8"
"King","53033030902","3848","27.51","10"
"King","53033031000","2366","25.81","3"
"King","53033031100","5009","27.36","9"
"King","53033031202","4585","26.66","6"
"King","53033031204","4479","26.36","5"
"King","53033031205","4642","26.24","5"
"King","53033031206","3013","26.35","5"
"King","53033031301","1968","25.85","3"
"King","53033031302","3011","26.64","6"
"King","53033031400","4173","26.52","6"
"King","53033031501","3373","26.19","5"
"King","53033031502","3304","26.21","5"
"King","53033031601","3918","26.12","4"
"King","53033031603","3888","26.06","4"
"King","53033031604","3208","26.28","5"
"King","53033031605","2464","25.78","3"
"King","53033031703","4555","26","4"
"King","53033031704","3218","26.35","5"
"King","53033031705","2916","26.49","6"
"King","53033031706","4488","26.37","5"
"King","53033031800","3610","26","4"
"King","53033031903","4971","26.31","5"
"King","53033031904","2806","25.8","3"
"King","53033031906","2670","25.59","3"
"King","53033031907","5760","25.65","3"
"King","53033031908","3746","26.5","6"
"King","53033031909","2482","25.97","4"
"King","53033032002","2517","25.99","4"
"King","53033032003","3862","25.67","3"
"King","53033032005","4596","27.11","8"
"King","53033032006","3423","26.28","5"
"King","53033032007","2739","26.27","5"
"King","53033032008","2886","26.39","5"
"King","53033032010","3337","25.83","3"
"King","53033032011","2662","25.96","4"
"King","53033032102","3887","25.22","2"
"King","53033032103","3214","25.59","3"
"King","53033032104","4712","25.35","2"
"King","53033032203","4722","24.66","1"
"King","53033032207","2285","24.65","1"
"King","53033032208","5462","24.89","1"
"King","53033032210","7669","24.63","1"
"King","53033032211","3387","24.64","1"
"King","53033032212","5985","24.64","1"
"King","53033032213","2924","24.34","1"
"King","53033032214","4066","24.41","1"
"King","53033032215","2833","24.3","1"
